"estudiante_id","nombre","apellido","genero","curso_nivel","curso_paralelo","curso_turno","materia_nombre","periodo_nombre","periodo_id","promedio_examenes","promedio_tareas","promedio_exposiciones","promedio_participaciones","porcentaje_asistencia","promedio_practicas","promedio_proyecto_final","promedio_trabajo_grupal","promedio_ensayos","promedio_cuestionarios","nota_final_real","edad","genero_masculino","turno_manana","promedio_notas_anterior","promedio_participacion","rendimiento_categoria","total_evaluaciones"
"1","Roxana","Rivera","Femenino","Secundaria","A","Mañana","Desarrollo Personal y Social","Primer Trimestre","1","0","80.98733333333334","78.14785714285713","45.476333333333336","53.333333333333336","0","77.428","85.06000000000002","60.16428571428572","36.223571428571425","62.38","5","0","1","39.78379761904762","45.476333333333336","Medio","187"
"1","Roxana","Rivera","Femenino","Secundaria","A","Mañana","Desarrollo Personal y Social","Segundo Trimestre","2","0","72.16466666666666","75.85187499999999","53.55666666666665","50.0","0","84.77199999999999","76.005625","60.24875","46.719375","63.25","5","0","1","37.004135416666664","53.55666666666665","Medio","196"
"1","Roxana","Rivera","Femenino","Secundaria","A","Mañana","Desarrollo Personal y Social","Tercer Trimestre","3","0","76.82866666666665","81.08357142857143","45.759333333333316","46.666666666666664","0","76.78","79.96285714285713","58.29928571428571","36.36214285714285","60.49","5","0","1","39.47805952380952","45.759333333333316","Medio","187"
"1","Roxana","Rivera","Femenino","Secundaria","A","Mañana","Comunicación Oral (en Lengua Castellana)","Primer Trimestre","1","0","72.85766666666663","80.41642857142857","56.462","43.333333333333336","0","79.814","78.56142857142858","63.339999999999996","48.40428571428571","63.66","5","0","1","38.318523809523796","56.462","Medio","187"
"1","Roxana","Rivera","Femenino","Secundaria","A","Mañana","Comunicación Oral (en Lengua Castellana)","Segundo Trimestre","2","0","76.192","76.35499999999999","50.20733333333332","51.666666666666664","0","75.40599999999999","80.40625000000001","63.538750000000014","41.748749999999994","62.6","5","0","1","38.13674999999999","50.20733333333332","Medio","196"
"1","Roxana","Rivera","Femenino","Secundaria","A","Mañana","Comunicación Oral (en Lengua Castellana)","Tercer Trimestre","3","0","73.90899999999998","83.04214285714285","45.78633333333333","43.333333333333336","0","82.994","78.05428571428573","47.02214285714286","58.402857142857144","61.53","5","0","1","39.23778571428571","45.78633333333333","Medio","187"
"1","Roxana","Rivera","Femenino","Secundaria","A","Mañana","Lenguaje Artístico y Corporal","Primer Trimestre","1","0","75.41499999999999","82.04857142857144","50.27833333333333","53.333333333333336","0","76.28399999999999","86.19785714285715","61.760000000000005","32.16285714285714","62.89","5","0","1","39.36589285714285","50.27833333333333","Medio","187"
"1","Roxana","Rivera","Femenino","Secundaria","A","Mañana","Lenguaje Artístico y Corporal","Segundo Trimestre","2","0","80.12366666666665","81.809375","47.36066666666667","53.333333333333336","0","80.64399999999999","78.74625","53.058125000000004","49.1175","63.35","5","0","1","40.48326041666667","47.36066666666667","Medio","196"
"1","Roxana","Rivera","Femenino","Secundaria","A","Mañana","Lenguaje Artístico y Corporal","Tercer Trimestre","3","0","77.76566666666668","76.64214285714284","48.987","55.0","0","85.39200000000001","80.67142857142856","63.423571428571435","49.682857142857145","65.02","5","0","1","38.60195238095238","48.987","Medio","187"
"1","Roxana","Rivera","Femenino","Secundaria","A","Mañana","Exploración del Entorno","Primer Trimestre","1","0","73.09633333333332","81.66642857142858","48.93266666666667","66.66666666666667","0","75.018","84.56214285714285","62.619285714285716","53.54714285714285","66.43","5","0","1","38.690690476190476","48.93266666666667","Medio","187"
